pdf_name,md_name,updated,flagged,reason,alpha_ratio,keyword_hits,pii_nic,pii_slmc,pii_email,pii_phone
EPID_Reports_en_65fc547b1177c_Vol_51_no_07-english.pdf,PDF_EXTRACT_EPID_Reports_en_65fc547b1177c_Vol_51_no_07-english.md,0,1,EXCEPTION:onnxruntime is not installed.,,,,,,
EPID_Reports_en_65fc60581a048_Vol_51_no_06-english.pdf,PDF_EXTRACT_EPID_Reports_en_65fc60581a048_Vol_51_no_06-english.md,0,1,EXCEPTION:onnxruntime is not installed.,,,,,,
EPID_Reports_en_65fc628912f33_Vol_51_no_05-english.pdf,PDF_EXTRACT_EPID_Reports_en_65fc628912f33_Vol_51_no_05-english.md,0,1,EXCEPTION:onnxruntime is not installed.,,,,,,
EPID_Reports_en_65fc6756ec7d6_Vol_51_no_04-english.pdf,PDF_EXTRACT_EPID_Reports_en_65fc6756ec7d6_Vol_51_no_04-english.md,0,1,EXCEPTION:onnxruntime is not installed.,,,,,,
EPID_Reports_en_65fc71dbe22ce_Vol_51_no_03-english.pdf,PDF_EXTRACT_EPID_Reports_en_65fc71dbe22ce_Vol_51_no_03-english.md,0,1,EXCEPTION:onnxruntime is not installed.,,,,,,
EPID_Reports_en_65fc755050a91_Vol_51_no_02-english.pdf,PDF_EXTRACT_EPID_Reports_en_65fc755050a91_Vol_51_no_02-english.md,0,1,EXCEPTION:onnxruntime is not installed.,,,,,,
EPID_Reports_en_6602904aa6a75_Vol_51_no_10-english.pdf,PDF_EXTRACT_EPID_Reports_en_6602904aa6a75_Vol_51_no_10-english.md,0,1,EXCEPTION:onnxruntime is not installed.,,,,,,
EPID_Reports_en_660e6d977a71b_Vol_51_no_11-english.pdf,PDF_EXTRACT_EPID_Reports_en_660e6d977a71b_Vol_51_no_11-english.md,0,1,EXCEPTION:onnxruntime is not installed.,,,,,,
EPID_Reports_en_661ea4cf29914_Vol_51_no_12-english.pdf,PDF_EXTRACT_EPID_Reports_en_661ea4cf29914_Vol_51_no_12-english.md,0,1,EXCEPTION:onnxruntime is not installed.,,,,,,
EPID_Reports_en_661ea55c0d8b5_Vol_51_no_13-english.pdf,PDF_EXTRACT_EPID_Reports_en_661ea55c0d8b5_Vol_51_no_13-english.md,0,1,EXCEPTION:onnxruntime is not installed.,,,,,,
EPID_Reports_en_6642eb38460d8_Vol_51_no_17-english.pdf,PDF_EXTRACT_EPID_Reports_en_6642eb38460d8_Vol_51_no_17-english.md,0,1,EXCEPTION:onnxruntime is not installed.,,,,,,
EPID_Reports_en_6643392246c49_Vol_51_no_14-english.pdf,PDF_EXTRACT_EPID_Reports_en_6643392246c49_Vol_51_no_14-english.md,0,1,EXCEPTION:onnxruntime is not installed.,,,,,,
EPID_Reports_en_664339d220499_Vol_51_no_15-english.pdf,PDF_EXTRACT_EPID_Reports_en_664339d220499_Vol_51_no_15-english.md,0,1,EXCEPTION:onnxruntime is not installed.,,,,,,
EPID_Reports_en_66433b57bd1c3_Vol_51_no_16-english.pdf,PDF_EXTRACT_EPID_Reports_en_66433b57bd1c3_Vol_51_no_16-english.md,0,1,EXCEPTION:onnxruntime is not installed.,,,,,,
